24949,"PE 2 TK SBC***Tae Kwon Do***BUSTO	BRIXTONN JOHN",(2.0) ,S 8-10AM PE V 300,,30 / 30,103
24950,"PE 2 TK SDE***Tae Kwon Do***BUSTO	BRIXTONN JOHN",(2.0) ,S 10AM-12PM PE V 300,,30 / 30,96
24953,"PE 2 TMB THG***Team Building***RAVAL	KENNETH MARIUS",(2.0) ,TTh 12-1PM PE V ROOFTOP,,30 / 30,161
24951,"PE 2 TMB THJ***Team Building***UY	NATALIA",(2.0) ,TTh 2-3PM PE ARC RANGE,Venue: Archery Range Room 2 ,30 / 30,64
24952,"PE 2 TMB WFG***Team Building***LIBOON	PAUL VINCENT",(2.0) ,WF 12-1PM PE V ROOFTOP,,30 / 30,136
24958,"PE 2 UF WIJ***Ultimate Frisbee***LIBOON	PAUL VINCENT",(2.0) ,W 1-3PM PE TBA,,25 / 25,101
24959,"PE 2 UF WKL***Ultimate Frisbee***LIBOON	PAUL VINCENT",(2.0) ,W 3-5PM PE TBA,,25 / 25,148
24961,"PE 2 WF THL***Walking for Fitness***RIVERA	NOEL",(2.0) ,TTh 4-5PM PE TBA,Venue: Swimming Pool Grounds ,24 / 24,149
24960,"PE 2 WF WFA***Walking for Fitness***GONZALO	LEILANI",(2.0) ,WF 7-8AM PE TBA,,24 / 24,135
24962,"PE 2 WF WFL***Walking for Fitness***RIVERA	NOEL",(2.0) ,WF 4-5PM PE TBA,Venue: Swimming Pool Grounds ,24 / 24,162
24963,"PE 2 WR WFK***Wrestling***MADRIGAL	NORBERTO",(2.0) ,WF 3-4PM PE JUDO RM,For: Male ,24 / 24,21
24964,"PE 2 WT-M THJ***Weight Training for Men***VALLESER	CHRISTIAN WISDOM",(2.0) ,TTh 2-3PM PE WTS RM,For: Male ,20 / 20,86
24965,"PE 2 WT-M THK***Weight Training for Men***VALLESER	CHRISTIAN WISDOM",(2.0) ,TTh 3-4PM PE WTS RM,For: Male ,20 / 20,125
24971,"PE 2 Y THG***Yoga***MOTI	LISSA AIREEN",(2.0) ,TTh 12-1PM PE V 300,,25 / 25,165
24972,"PE 2 Y THI***Yoga***MOTI	LISSA AIREEN",(2.0) ,TTh 1-2PM PE V 300,,25 / 25,167
